ID_empenho,Numero_empenho,Data_empenho,ID_contrato,Valor_empenho,Operação
1,2023NE000185,2023-06-23,1,25000,Inclusão
2,2023NE000186,2023-06-23,1,5000,Inclusão
3,2024NE000085,2024-02-21,1,2083.33,Inclusão
4,2024NE000086,2024-02-21,1,10416.67,Inclusão
5,2024NE000085,2024-09-25,1,833.34,Reforço
6,2024NE000086,2024-09-25,1,4166.66,Reforço
7,2025NE000057,2025-01-24,2,833.32,Inclusão
8,2025NE000058,2025-01-24,2,4166.66,Inclusão
9,2025NE000105,2025-04-17,2,833.32,Inclusão
10,2025NE000106,2025-04-17,2,4166.66,Inclusão
