Quantidade,Diretoria Solicitante,Cidade Destino,Sigla,ID_contrato,Referencia,Ano,Objeto,Valor_pg,ID_empenho,NF
1,ARI,Duque de Caxias,RJ,1,2023-10-01,2023,PAC Contrato,23.1,1,343345
1,ARI,Rio Verde,GO,1,2023-10-01,2023,PAC Contrato,22.69,1,343345
1,ARI,Itiquira,MT,1,2023-10-01,2023,PAC Contrato,31.15,1,343345
1,ARI,Itaperuna,RJ,1,2023-10-01,2023,PAC Contrato,31.15,1,343345
1,ARI,Mirante do Paranapanema,SP,1,2023-10-01,2023,PAC Contrato,25.37,1,343345
1,ARI,Barra Mansa,RJ,1,2023-11-01,2023,PAC Contrato,106.84,1,345309
1,ARI,Barra Mansa,RJ,1,2023-11-01,2023,PAC Contrato,74.12,1,345309
1,ARI,São José dos Campos,SP,1,2023-11-01,2023,PAC Contrato,69.97,1,345309
1,ARI,São José dos Campos,SP,1,2023-11-01,2023,PAC Contrato,52.57,1,345309
1,ARI,São José dos Campos,SP,1,2023-11-01,2023,PAC Contrato,69.97,1,345309
1,ARI,São José dos Campos,SP,1,2023-11-01,2023,PAC Contrato,69.97,1,345309
1,ARI,São José dos Campos,SP,1,2023-11-01,2023,PAC Contrato,64.17,1,345309
1,ARI,São José dos Campos,SP,1,2023-11-01,2023,PAC Contrato,23.1,1,345309
1,ARI,Curitiba,PR,1,2024-01-01,2024,PAC Contrato,30.82,3,350744
1,ARI,São José dos Campos,SP,1,2024-01-01,2024,PAC Contrato,27.61,3,350744
1,ARI,Itajubá,MG,1,2024-01-01,2024,PAC Contrato,26.38,3,350744
1,ARI,Rio Parnaiba,MG,1,2024-02-01,2024,PAC Contrato,66.95,3,352553
1,ARI,Serra Negra,SP,1,2024-02-01,2024,PAC Contrato,46.5,3,352553
1,ARI,Itajubá,MG,1,2024-03-01,2024,PAC Contrato,22.23,3,355098
1,ARI,Alcântara,MA,1,2024-03-01,2024,PAC Contrato,74.28,3,355098
1,ARI,Alcântara,MA,1,2024-03-01,2024,PAC Contrato,107.04,3,355098
1,ARI,Alcântara,MA,1,2024-03-01,2024,PAC Contrato,74.28,3,355098
1,ARI,Alcântara,MA,1,2024-03-01,2024,PAC Contrato,74.28,3,355098
1,ARI,Alcântara,MA,1,2024-03-01,2024,PAC Contrato,74.28,3,355098
1,ARI,Alcântara,MA,1,2024-03-01,2024,PAC Contrato,115.23,3,355098
1,ARI,Alcântara,MA,1,2024-03-01,2024,PAC Contrato,66.09,3,355098
1,ARI,Alcântara,MA,1,2024-03-01,2024,PAC Contrato,98.85,3,355098
1,ARI,Alcântara,MA,1,2024-03-01,2024,PAC Contrato,39.5,3,355098
1,ARI,Alcântara,MA,1,2024-04-01,2024,PAC Contrato,86.29,3,357125
1,ARI,São José dos Campos,SP,1,2024-04-01,2024,PAC Contrato,20.54,3,357125
1,ARI,Parnamirim,RN,1,2024-05-01,2024,PAC Contrato,69.15,4,359901
1,ARI,Itajubá,MG,1,2024-06-01,2024,PAC Contrato,29.26,4,362934
1,ARI,Florianopolis,SC,1,2024-06-01,2024,PAC Contrato,25.56,4,362934
1,ARI,Maceió,AL,1,2024-06-01,2024,PAC Contrato,77.72,4,362934
1,ARI,Maceió,AL,1,2024-06-01,2024,PAC Contrato,77.72,4,362934
1,ARI,Alcântara,MA,1,2024-06-01,2024,PAC Contrato,86.29,4,362934
1,ARI,Parnamirim,RN,1,2024-06-01,2024,PAC Contrato,86.29,4,362934
1,ARI,Parnamirim,RN,1,2024-06-01,2024,PAC Contrato,69.15,4,362934
1,ARI,São José dos Campos,SP,1,2024-06-01,2024,PAC Contrato,61.06,4,362934
1,ARI,Alcântara,MA,1,2024-06-01,2024,PAC Contrato,86.29,4,362934
1,ARI,Parnamirim,RN,1,2024-06-01,2024,PAC Contrato,86.29,4,362934
1,ARI,São José dos Campos,SP,1,2024-06-01,2024,PAC Contrato,61.06,4,362934
1,ARI,São José dos Campos,SP,1,2024-07-01,2024,PAC Contrato,47.34,4,365152
1,ARI,São Luís,MA,1,2024-07-01,2024,PAC Contrato,53,4,365152
1,ARI,São Paulo,SP,1,2024-07-01,2024,PAC Contrato,30.86,4,365152
1,ARI,Natal,RN,1,2024-07-01,2024,PAC Contrato,86.29,4,365152
1,ARI,Natal,RN,1,2024-07-01,2024,PAC Contrato,103.43,4,365152
1,ARI,Alcântara,MA,1,2024-07-01,2024,PAC Contrato,94.86,4,365152
1,ARI,Alcântara,MA,1,2024-07-01,2024,PAC Contrato,94.86,4,365152
1,ARI,Natal,RN,1,2024-07-01,2024,PAC Contrato,86.29,4,365152
1,ARI,Alcântara,MA,1,2024-07-01,2024,PAC Contrato,94.86,4,365152
1,ARI,Alcântara,MA,1,2024-07-01,2024,PAC Contrato,53,4,365152
1,ARI,Natal,RN,1,2024-07-01,2024,PAC Contrato,58.53,4,365152
1,ARI,Alcântara,MA,1,2024-07-01,2024,PAC Contrato,58.53,4,365152
1,ARI,São José dos Campos,SP,1,2024-07-01,2024,PAC Contrato,48.94,4,365152
1,ARI,São José dos Campos,SP,1,2024-09-01,2024,PAC Contrato,67.12,4,370478
1,ARI,Natal,RN,1,2024-09-01,2024,PAC Contrato,94.86,4,370478
1,ARI,Natal,RN,1,2024-09-01,2024,PAC Contrato,44.19,4,370478
1,ARI,São José dos Campos,SP,1,2024-09-01,2024,PAC Contrato,45.14,4,370478
1,ARI,São José dos Campos,SP,1,2024-09-01,2024,PAC Contrato,30.86,4,370478
1,ARI,São José dos Campos,SP,1,2024-09-01,2024,PAC Contrato,67.12,4,370478
1,ARI,São José dos Campos,SP,1,2024-09-01,2024,PAC Contrato,30.86,4,370478
1,ARI,Natal,RN,1,2024-09-01,2024,PAC Contrato,44.19,4,370478
1,ARI,São José dos Campos,SP,1,2024-09-01,2024,PAC Contrato,30.86,4,370478
1,ARI,São José dos Campos,SP,1,2024-09-01,2024,PAC Contrato,45.14,4,370478
1,ARI,Alcântara,MA,1,2024-09-01,2024,PAC Contrato,38.69,4,370478
1,ARI,Alcântara,MA,1,2024-09-01,2024,PAC Contrato,103.22,4,370478
1,ARI,São José dos Campos,SP,1,2024-09-01,2024,PAC Contrato,55,4,370478
