ID_FUNCAO_PT,Cod Programa Orçamentário,Título do Programa Orçamentário,ID_ACAO_PT,NO_ACAO_PT,ID_ANO_LANC,ID_MES_LANC,ID_GRUPO_DESPESA_NADE,NO_GRUPO_DESPESA_NADE,CO_ITEM_INFORMACAO,SALDORITEMINFORMAO,ID_PTRES,ID_UO,ID_IN_RESULTADO_LEI_CEOR,NO_IN_RESULTADO_LEI_CEOR
19,2207,PROGRAMA ESPACIAL BRASILEIRO,154L,IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL,2023,14,3,OUTRAS DESPESAS CORRENTES,19,0,172411,24205,2,PRIMARIO DISCRICIONARIO
19,2207,PROGRAMA ESPACIAL BRASILEIRO,154L,IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL,2023,14,3,OUTRAS DESPESAS CORRENTES,13,0,172411,24205,2,PRIMARIO DISCRICIONARIO
19,2207,PROGRAMA ESPACIAL BRASILEIRO,154L,IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL,2022,14,3,OUTRAS DESPESAS CORRENTES,20,0,172411,24205,2,PRIMARIO DISCRICIONARIO
19,2207,PROGRAMA ESPACIAL BRASILEIRO,154L,IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL,2022,14,3,OUTRAS DESPESAS CORRENTES,19,0,172411,24205,2,PRIMARIO DISCRICIONARIO
19,2207,PROGRAMA ESPACIAL BRASILEIRO,154L,IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL,2022,14,3,OUTRAS DESPESAS CORRENTES,13,0,172411,24205,2,PRIMARIO DISCRICIONARIO
19,2207,PROGRAMA ESPACIAL BRASILEIRO,154L,IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL,2023,14,3,OUTRAS DESPESAS CORRENTES,20,0,172411,24205,2,PRIMARIO DISCRICIONARIO
19,2207,PROGRAMA ESPACIAL BRASILEIRO,154L,IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL,2021,14,3,OUTRAS DESPESAS CORRENTES,20,0,172411,24205,2,PRIMARIO DISCRICIONARIO
19,2207,PROGRAMA ESPACIAL BRASILEIRO,154L,IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL,2021,14,3,OUTRAS DESPESAS CORRENTES,13,0,172411,24205,2,PRIMARIO DISCRICIONARIO
19,2207,PROGRAMA ESPACIAL BRASILEIRO,154L,IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL,2020,14,3,OUTRAS DESPESAS CORRENTES,20,0,172411,24205,2,PRIMARIO DISCRICIONARIO
19,2207,PROGRAMA ESPACIAL BRASILEIRO,154L,IMPLEMENTACAO DO PLANO DE ABSORCAO E TRANSFERENCIA DE TECNOL,2020,14,3,OUTRAS DESPESAS CORRENTES,19,0,172411,24205,2,PRIMARIO DISCRICIONARIO
